company_id,cat_id,catName,style_id,StyleName,prod_id,kind,color,Description,weight,size,Qty,Qty_sold,price_MGL,unitprice_Cnd,TransportCostUnit,sellsPrice,barCode,sex,sellDesc,barCodePrint,print_bar,workField,extra
103,0102,C-neck,103-2U-010202,dzemper /Cable/-7 g,,wool,turquoise,,377,M,2,2,140000,54.26356589,8.304655029,167,1032U01020210M,unisex,Quinn+1 sold,103010202,1032U01020210M,,
103,0102,C-neck,103-2U-010203,dzemper 12g,,wool,blue,man DZEMPER -12 gh,444,L,1,,85000,32.94573643,6.520365752,150,1032U01020304L,unisex,sold,103010203,1032U01020304L,,
103,0104,Vest,103-2W-010401,vest with onootoi,,wool,black,woman vest,235,L,1,,60000,23.25581395,10.35328346,130,1032W01040101L,female,,103010401,1032W01040101L,,
103,0103,T-neck,103-2U-010302,blue&black &light blue /alag/,,wool,different Colors,blue&black &light blue,303,M,1,,120000,46.51162791,13.34912718,130,1032U01030211M,unisex,,103010302,1032U01030211M,,
102,0105,Polo,102-1W-010501,Polo - longor back,101-0121-039-2250-3,cashmere,blue,Polo,0,M,1,,,156.68,,349.99,102-1W-010501-04M,female,printed,102010501,102-1W-010501-04M,121W01050104M,
102,0105,Polo,102-1W-010501,Polo - longor back,101-0121-039-79-3,cashmere,blue-nomin,Polo,0,M,1,,,156.68,,349.99,102-1W-010501-08M,female,printed,102010501,102-1W-010501-08M,121W01050108M,
102,0305,Cardigan,102-1W-030501,Cardigan-zadgai engertai,102-0119-029-02-4,cashmere,bej,Cardigan,0,L,1,1,,196.87,,299,102-1W-030501-02L,female,sold,102030501,102-1W-030501-02L,121W03050102L,
102,0101,Cardigan,102-1W-010102,Cardigan- cNeck,102-0120-002-153-5,cashmere,gray,Cardigan,0,XL,1,,,100.42,,229.99,102-1W-010102-03XL,female,printed,102010102,102-1W-010102-03XL,121W0101023XL,
102,0101,Cardigan,102-1W-010103,Cardigan- vNeck,102-0120-024-1096-0,cashmere,yellow,Cardigan,0,F,1,,,140.61,,269.99,102-1W-010103-12F,female,printed,102010103,102-1W-010103-12F,121W01010312F,
102,0101,Cardigan,102-1W-010103,Cardigan- vNeck,102-0120-024-75-0,cashmere,black,Cardigan,0,F,1,1,,140.61,,269.99,102-1W-010103-01F,female,sold,102010103,102-1W-010103-01F,121W01010301F,
102,0101,Cardigan,102-1W-010107,Cardigan-buttons,102-0120-109-3100-3,cashmere,blue-nomin,Cardigan,0,M,1,1,,129.76,,269.99,102-1W-010107-08M,female,sold,102010107,102-1W-010107-08M,121W01010708M,
102,0303,mini Coat,102-1W-030301,buttonless,102-0122-004-1345-4,cashmere,Orange,Cardigan,0,L,1,,,341.53,,751,102-1W-030301-13L,female,,102030301,102-1W-030301-13L,121W03030113L,
102,0101,Cardigan,102-1W-010105,Cardigan-vNeck-cable,102-0122-059-151-4,cashmere,green--pistachio,Cardigan,0,L,1,,,397.79,,875,102-1W-010105-14L,female,,102010105,102-1W-010105-14L,121W01010514L,
102,0101,Cardigan,102-1W-010104,Cardigan-cNeck-buttons,102-0222-108-1507-3,silk-cashmere,gray,Cardigan,0,M,1,,,143.02,,315,102-1W-010104-03M,female,,102010104,102-1W-010104-03M,121W01010403M,
102,0102,C-neck,102-1W-010208,C-neck-longer back,104-0120-020-1096-0,cashmere,yellow,C-neck,0,F,1,1,,116.5,,229.99,102-1W-010208-12F,female,sold,102010208,102-1W-010208-12F,121W01020812F,
102,0102,C-neck,102-1U-010204,C-neck-pink & blue color,104-0120-113-889/3300-5,cashmere,different Colors,C-neck,0,XL,1,,,180.79,,359.99,102-1U-010204-11XL,unisex,,102010204,102-1U-010204-11XL,121U0102041XL,
102,,C-neck,102-1U-010210,C-neck-colored stripe sleeve,104-0120-135-6850/4800/100-4,cashmere,brown,C-neck,0,L,1,,,116.49,,229.99,102-1U-010210-05L,unisex,hos omd,102010210,102-1U-010210-05L,121U01021005L,
102,0102,C-neck,102-1U-010207,C-neck-cable in shoulder,104-0121-001-74-3,cashmere,gray,C-neck,0,M,1,,,108.46,,239,102-1U-010207-03M,unisex,,102010207,102-1U-010207-03M,121U01020703M,
102,0102,C-neck,102-1U-010205,C-neck-simple,104-0121-221-148-4,cashmere,gray,C-neck,0,L,1,1,,83.95,,229.99,102-1U-010205-03L,unisex,sold,102010205,102-1U-010205-03L,121U01020503L,
